label,f_obs,freq_err,a_obs,amp_err,n_obs,l_obs,m_obs
U1,0.176323,5.2016e-05,3.5434e-05,2.7137e-06,-1,-1,-1
U2,0.313151,6.0445e-05,3.0493e-05,2.7137e-06,-1,-1,-1
U3,0.376203,7.5799e-05,2.4317e-05,2.7137e-06,-1,-1,-1
U4,0.472306,9.0304e-05,2.0411e-05,2.7137e-06,-1,-1,-1
U5,0.787969,9.3126e-05,1.9792e-05,2.7137e-06,-1,-1,-1
U6,1.068315,3.8911e-05,4.7369e-05,2.7137e-06,-1,-1,-1
U7,1.134572,9.7709e-05,1.8864e-05,2.7137e-06,-1,-1,-1
U8,1.281287,7.4388e-05,2.4778e-05,2.7137e-06,-1,-1,-1
U9,1.434757,4.3193e-05,4.2673e-05,2.7137e-06,-1,-1,-1
U10,1.80436,7.8552e-05,2.3464e-05,2.7137e-06,-1,-1,-1
U11,1.903814,9.3393e-05,1.9735e-05,2.7137e-06,-1,-1,-1
U12,2.278137,8.5197e-05,2.1634e-05,2.7137e-06,-1,-1,-1
U13,2.414139,9.0858e-05,2.0286e-05,2.7137e-06,-1,-1,-1
U14,2.917569,2.7389e-05,6.7296e-05,2.7137e-06,-1,-1,-1
U15,6.533604,7.4657e-05,2.4688e-05,2.7137e-06,-1,-1,-1
U16,13.989316,7.3354e-05,2.5127e-05,2.7137e-06,-1,-1,-1
F1,15.581952,8.1885e-05,2.2509e-05,2.7137e-06,-2,2,2
F2,16.488853,4.472e-05,4.1215e-05,2.7137e-06,-1,2,-2
U17,17.117708,8.9221e-05,2.0658e-05,2.7137e-06,-1,-1,-1
F3,18.295866,1.7321e-05,0.00010641,2.7137e-06,-1,2,0
U18,20.469522,3.8844e-05,4.745e-05,2.7137e-06,-1,-1,-1
U19,20.613446,1.0761e-05,0.00017129,2.7137e-06,-1,-1,-1
F4,21.233585,5.2867e-05,3.4864e-05,2.7137e-06,1,0,0
U20,21.371331,2.4706e-05,7.4605e-05,2.7137e-06,-1,-1,-1
F5,21.712843,8.4084e-06,0.0002192,2.7137e-06,1,1,0
U21,21.792926,4.4988e-05,4.097e-05,2.7137e-06,-1,-1,-1
U22,22.021781,3.1945e-05,5.7698e-05,2.7137e-06,-1,-1,-1
U23,22.28153,9.922e-05,1.8576e-05,2.7137e-06,-1,-1,-1
U24,22.35568,1.848e-05,9.974e-05,2.7137e-06,-1,-1,-1
U25,22.468748,8.5322e-05,2.1602e-05,2.7137e-06,-1,-1,-1
U26,22.666142,5.2007e-05,3.544e-05,2.7137e-06,-1,-1,-1
U27,23.045526,4.6106e-05,3.9977e-05,2.7137e-06,-1,-1,-1
U28,23.224977,2.866e-06,0.00064311,2.7137e-06,-1,-1,-1
U29,23.306564,3.527e-05,5.2258e-05,2.7137e-06,-1,-1,-1
U30,23.551152,5.5272e-05,3.3347e-05,2.7137e-06,-1,-1,-1
U31,23.918705,7.6542e-05,2.408e-05,2.7137e-06,-1,-1,-1
U32,24.172107,5.9532e-05,3.0961e-05,2.7137e-06,-1,-1,-1
U33,24.260042,4.0462e-05,4.5553e-05,2.7137e-06,-1,-1,-1
U34,24.699626,3.3362e-05,5.5248e-05,2.7137e-06,-1,-1,-1
U35,24.840552,4.6779e-06,0.00039401,2.7137e-06,-1,-1,-1
U36,25.155662,3.3896e-05,5.4377e-05,2.7137e-06,-1,-1,-1
U37,25.283526,9.4012e-05,1.9606e-05,2.7137e-06,-1,-1,-1
U38,25.570809,2.2058e-05,8.3559e-05,2.7137e-06,-1,-1,-1
U39,25.747198,6.9209e-05,2.6632e-05,2.7137e-06,-1,-1,-1
U40,25.846023,5.3605e-05,3.4384e-05,2.7137e-06,-1,-1,-1
U41,26.298951,9.9267e-05,1.8568e-05,2.7137e-06,-1,-1,-1
U42,26.698282,9.3323e-06,0.0001975,2.7137e-06,-1,-1,-1
U43,26.904263,0.0001017,1.8124e-05,2.7137e-06,-1,-1,-1
U44,27.374945,4.4971e-06,0.00040986,2.7137e-06,-1,-1,-1
U45,27.687542,5.1177e-06,0.00036016,2.7137e-06,-1,-1,-1
U46,27.882663,6.3206e-05,2.9161e-05,2.7137e-06,-1,-1,-1
U47,27.989382,3.0978e-05,5.9499e-05,2.7137e-06,-1,-1,-1
F6,28.218029,2.3356e-05,7.8917e-05,2.7137e-06,2,1,0
U48,28.331101,2.4621e-05,7.4861e-05,2.7137e-06,-1,-1,-1
U49,28.559028,5.0229e-05,3.6695e-05,2.7137e-06,-1,-1,-1
U50,28.825361,9.6933e-05,1.9015e-05,2.7137e-06,-1,-1,-1
U51,28.927637,2.6836e-05,6.8683e-05,2.7137e-06,-1,-1,-1
U52,29.233469,5.8015e-05,3.177e-05,2.7137e-06,-1,-1,-1
F7,29.502495,6.1938e-06,0.00029758,2.7137e-06,2,1,1
U53,29.759931,5.547e-05,3.3228e-05,2.7137e-06,-1,-1,-1
U54,30.017449,1.8915e-05,9.7443e-05,2.7137e-06,-1,-1,-1
U55,30.200663,9.3593e-05,1.9693e-05,2.7137e-06,-1,-1,-1
U56,30.701668,6.3156e-05,2.9184e-05,2.7137e-06,-1,-1,-1
U57,30.899716,1.8552e-05,9.9353e-05,2.7137e-06,-1,-1,-1
U58,31.022367,2.9822e-05,6.1806e-05,2.7137e-06,-1,-1,-1
U59,31.398994,2.7955e-05,6.5932e-05,2.7137e-06,-1,-1,-1
U60,31.815113,6.3643e-05,2.8961e-05,2.7137e-06,-1,-1,-1
U61,32.326337,5.3473e-05,3.4469e-05,2.7137e-06,-1,-1,-1
U62,32.653341,0.00010366,1.778e-05,2.7137e-06,-1,-1,-1
