label,f_obs,freq_err,a_obs,amp_err,n_obs,l_obs,m_obs
U1,0.078173,0.00098547,4.4441e-05,6.0971e-06,-1,-1,-1
U2,0.130178,0.0007736,5.6613e-05,6.0971e-06,-1,-1,-1
U3,0.19245,0.00097656,4.4847e-05,6.0971e-06,-1,-1,-1
U4,0.290233,0.0011655,3.7576e-05,6.0971e-06,-1,-1,-1
U5,0.402355,0.0013252,3.3049e-05,6.0971e-06,-1,-1,-1
U6,0.593846,0.0017714,2.4724e-05,6.0971e-06,-1,-1,-1
U7,0.672183,0.001674,2.6162e-05,6.0971e-06,-1,-1,-1
U8,0.868611,0.0018187,2.4081e-05,6.0971e-06,-1,-1,-1
U9,1.27508,0.0018151,2.4129e-05,6.0971e-06,-1,-1,-1
U10,1.5683,0.0014638,2.9919e-05,6.0971e-06,-1,-1,-1
U11,2.186171,0.0017053,2.5683e-05,6.0971e-06,-1,-1,-1
U12,3.175098,0.0017091,2.5625e-05,6.0971e-06,-1,-1,-1
U13,5.545073,0.0017245,2.5397e-05,6.0971e-06,-1,-1,-1
U14,5.623239,0.001873,2.3383e-05,6.0971e-06,-1,-1,-1
U15,6.197319,0.0016495,2.6551e-05,6.0971e-06,-1,-1,-1
U16,7.034979,0.0019468,2.2496e-05,6.0971e-06,-1,-1,-1
U17,7.112031,0.0019096,2.2935e-05,6.0971e-06,-1,-1,-1
U18,13.636947,0.0019162,2.2855e-05,6.0971e-06,-1,-1,-1
U19,14.204046,0.0019495,2.2465e-05,6.0971e-06,-1,-1,-1
U20,17.128394,0.001509,2.9024e-05,6.0971e-06,-1,-1,-1
F1,17.889839,0.00081706,5.3602e-05,6.0971e-06,-1,2,0
U21,18.134156,0.00072626,6.0303e-05,6.0971e-06,-1,-1,-1
F2,18.688278,7.6351e-05,0.00057361,6.0971e-06,-1,2,2
U22,19.131909,0.00079416,5.5147e-05,6.0971e-06,-1,-1,-1
U23,19.696874,0.0016306,2.6859e-05,6.0971e-06,-1,-1,-1
U24,19.977424,0.00047586,9.2034e-05,6.0971e-06,-1,-1,-1
U25,20.438892,3.8526e-05,0.0011368,6.0971e-06,-1,-1,-1
F3,20.849313,0.00027943,0.00015673,6.0971e-06,1,0,0
F4,21.387892,0.00076594,5.7179e-05,6.0971e-06,1,1,0
U26,21.666651,0.0017196,2.5468e-05,6.0971e-06,-1,-1,-1
F5,21.916092,0.00022218,0.00019712,6.0971e-06,1,1,1
U27,22.325092,0.00043586,0.00010048,6.0971e-06,-1,-1,-1
F6,23.098496,0.00095494,4.5862e-05,6.0971e-06,0,3,-2
U28,23.405686,0.0017778,2.4635e-05,6.0971e-06,-1,-1,-1
F7,23.654117,0.00027844,0.00015729,6.0971e-06,0,3,-1
F8,25.144424,0.00098079,4.4653e-05,6.0971e-06,0,3,2
U29,26.236948,0.0018947,2.3115e-05,6.0971e-06,-1,-1,-1
F9,26.323808,5.0062e-05,0.00087483,6.0971e-06,1,2,0
F10,26.741555,0.00026431,0.0001657,6.0971e-06,2,0,0
F11,27.262839,6.2616e-05,0.00069942,6.0971e-06,1,2,2
F12,28.475957,0.00024054,0.00018207,6.0971e-06,2,1,1
U30,30.088848,0.00097447,4.4943e-05,6.0971e-06,-1,-1,-1
U31,31.814741,0.0012969,3.377e-05,6.0971e-06,-1,-1,-1
U32,32.350138,6.2535e-05,0.00070033,6.0971e-06,-1,-1,-1
U33,32.350138,6.2535e-05,0.00070033,6.0971e-06,-1,-1,-1
U34,32.494606,0.00080929,5.4116e-05,6.0971e-06,-1,-1,-1
F13,35.045773,9.7103e-05,0.00045102,6.0971e-06,3,1,1
U35,35.293448,0.00088678,4.9387e-05,6.0971e-06,-1,-1,-1
U36,35.799942,0.0017383,2.5195e-05,6.0971e-06,-1,-1,-1
U37,37.542547,0.00099005,4.4236e-05,6.0971e-06,-1,-1,-1
U38,38.238073,0.00058558,7.479e-05,6.0971e-06,-1,-1,-1
U39,38.372773,2.723e-05,0.0016084,6.0971e-06,-1,-1,-1
U40,38.372773,2.723e-05,0.0016084,6.0971e-06,-1,-1,-1
U41,38.450898,0.00099985,4.3802e-05,6.0971e-06,-1,-1,-1
F14,41.460478,0.0017517,2.5001e-05,6.0971e-06,4,1,0
F15,41.903009,0.0012975,3.3753e-05,6.0971e-06,4,1,1
F16,44.956429,0.00064529,6.787e-05,6.0971e-06,5,0,0
U42,45.113815,0.001204,3.6376e-05,6.0971e-06,-1,-1,-1
F17,48.832065,0.00082541,5.3059e-05,6.0971e-06,5,1,1
F18,51.828144,0.001591,2.7527e-05,6.0971e-06,6,0,0
F19,55.2353,0.0014631,2.9933e-05,6.0971e-06,6,1,0
F20,58.715827,0.00049848,8.7858e-05,6.0971e-06,7,0,0
